date,title,description,view_link,watch_link,ID,commission,meeting_ID,card__tag,card__title,card__document_number,card__author,verslag_link,data_type
25 februari 2025 13 uur - Peter Paul Rubens,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening - Sigarettenpeuken in zwerfvuil","Uit cijfers over zwerfvuil van de Openbare Vlaamse Afvalstoffenmaatschappij (OVAM) blijkt dat sigarettenpeuken vaak achteloos worden weggegooid. Veel rokers beschouwen dat nog steeds niet als zwerfvuil, maar de impact op het milieu is groot: de schadelijke restanten van sigarettenpeuken breken niet volledig af. Welke maatregelen wil minister Jo Brouns nemen om het aantal sigarettenpeuken in het zwerfvuil terug te dringen, naast de bestaande sensi...",/nl/parlementair-werk/commissies/commissievergaderingen/1873009,/nl/parlementair-werk/commissies/commissievergaderingen/1873009,1873009,omgeving,,,,,,,
,,,,,1870412,,1873009,Vraag om uitleg,Vraag om uitlegover de vernieuwing van de toegankelijkheidsverordening,1559 (2024-2025),vanMaurits Vande Reydeaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1870412,agenda_item
,,,,,1870262,,1873009,Vraag om uitleg,Vraag om uitlegover de aanpak van sigarettenpeuken in zwerfvuil,1536 (2024-2025),vanStijn De Rooaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1870262,agenda_item
,,,,,1872705,,1873009,Vraag om uitleg,Vraag om uitlegover rondslingerende sigarettenpeuken,1659 (2024-2025),vanSanne Van Looyaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1872705,agenda_item
,,,,,1870327,,1873009,Vraag om uitleg,Vraag om uitlegover de aankondigingspolitiek voor een vergunningsvrijstelling voor pocketvergisters in afwijking van het PAS-milieueffectrapport,1541 (2024-2025),vanAndy Pietersaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1870327,agenda_item
,,,,,1872291,,1873009,Vraag om uitleg,Vraag om uitlegover de uitrol van pocketvergisters,1636 (2024-2025),vanSimon Bekaertaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1872291,agenda_item
,,,,,1870336,,1873009,Vraag om uitleg,Vraag om uitlegover de nieuwe praktische wegwijzer Stikstofdepositie,1542 (2024-2025),vanAndy Pietersaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1870336,agenda_item
,,,,,1870337,,1873009,Vraag om uitleg,Vraag om uitlegover de tegenstrijdige adviezen in vergunningsaanvragen voor de realisatie van landinrichtingsprojecten door de Vlaamse Landmaatschappij,1543 (2024-2025),vanAndy Pietersaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1870337,agenda_item
,,,,,1872956,,1873009,Vraag om uitleg,Vraag om uitlegover de invulling van de bevoegdheden en de adviespraktijk van het Agentschap Natuur en Bos,1698 (2024-2025),vanMarianne Verhaertaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1872956,agenda_item
,,,,,1870489,,1873009,Vraag om uitleg,Vraag om uitlegover de herbestemming van militaire domeinen in het kader van de industriële wapen- en munitieproductie,1575 (2024-2025),vanDries Devilléaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1870489,agenda_item
,,,,,1870442,,1873009,Vraag om uitleg,Vraag om uitlegover de ondersteuning van plastic recyclers,1562 (2024-2025),vanMieke Schauvliegeaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1870442,agenda_item
,,,,,1870498,,1873009,Vraag om uitleg,Vraag om uitlegover de reactie van de minister op het auditoriaatsverslag over het tijdelijke PFAS-handelingskader,1578 (2024-2025),vanMieke Schauvliegeaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1870498,agenda_item
,,,,,1870500,,1873009,Vraag om uitleg,Vraag om uitlegover de Natuurherstelwet en de optie om in te schrijven op alle mogelijke uitzonderingen,1580 (2024-2025),vanMieke Schauvliegeaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1870500,agenda_item
,,,,,1870549,,1873009,Vraag om uitleg,Vraag om uitlegover het actieplan 'Ruimte om te Ondernemen' en de uitbreiding van bedrijventerreinen,1587 (2024-2025),vanStijn De Rooaan minister Jo Brouns en minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1870549,agenda_item
,,,,,1870345,,1873009,Vraag om uitleg,Vraag om uitlegover de aanpak van lekverliezen in het waterleidingnetwerk,1545 (2024-2025),vanLydia Peetersaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1870345,agenda_item
,,,,,1872589,,1873009,Vraag om uitleg,Vraag om uitlegover de atlas van de woonreservegebieden,1650 (2024-2025),vanLydia Peetersaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1872589,agenda_item
,,,,,1872926,,1873009,Vraag om uitleg,Vraag om uitlegover de dagvaarding door de Europese Commissie bij het Hof van Justitie voor een falend mestbeleid,1679 (2024-2025),vanMieke Schauvliegeaan minister Jo Brouns,/nl/parlementaire-documenten/vragen-en-interpellaties/1872926,agenda_item
