titel,link,ID,original_ID,content_type,commission,spreker,sprekertekst,datum,question_id,speech_link
over de nieuwe praktische wegwijzer Stikstofdepositie,,,,speech,,Andy Pieters (N-VA),"Minister, in het kader van de passende beoordeling werd de praktische wegwijzer Stikstofdepositie op 9 januari onderworpen aan een update. De wegwijzer moet begrepen worden als de meest actuele leidraad om de significantie van een effect op de speciale beschermingszones (SBZ’s) te beoordelen. Ook gezien het feit dat het al over zeer technische materie gaat, is die handleiding zeer opportuun, zeker als het gaat over de SBZ-H-gebieden (speciale beschermingszone – Habitatrichtlijngebied). Terwijl het regeerakkoord natuurlijk een vereenvoudiging van de passende beoordeling beoogt, kan worden vastgesteld dat de praktische wegwijzer vooral aanvullingen kreeg. Minister, op welke manieren zorgt deze praktische wegwijzer voor een vereenvoudiging ten aanzien van de vorige, buiten de introductie van een stroomschema? De praktische wegwijzer gaat in op effecten op habitats binnen een SBZ-H die gevoelig zijn voor de depositie van stikstof. Zijn er ook wegwijzers gepland voor de andere habitats? Welke stappen hebt u doorlopen of op stapel gezet om de passende beoordeling in haar globaliteit als instrument te vereenvoudigen, en welke tijds- en middelenwinst denkt u daarmee voor aanvragers te realiseren?",dinsdag 25 februari 2025,1874410.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874410
over de nieuwe praktische wegwijzer Stikstofdepositie,,,,speech,,Minister Jo Brouns,"Er wordt in de praktische wegwijzers, naast een verduidelijking, bijvoorbeeld wanneer welk beoordelingskader van toepassing is, ook in extra handvatten voorzien voor het doorlopen van de impactscoretool. Er zijn eveneens voorbeelden toegevoegd om bepaalde principes te duiden, bijvoorbeeld een leidraad scheepvaart en een leidraad inzake andere emissiebronnen. Daarnaast is ook de opbouw van de wegwijzer gewijzigd, om op die manier de info meer gericht en naargelang het type project te kunnen aanreiken. De extra informatie die is toegevoegd, is grotendeels gebaseerd op vragen of onduidelijkheden die werden gemeld aan onze administratie. In de passende beoordeling dient te worden nagegaan of de vergunningsplichtige activiteit, plan of programma de realisatie van de instandhoudingsdoelstellingen (IHD’s) in een speciale beschermingszone al dan niet hypothekeert. Een praktische wegwijzer biedt dus een actuele leidraad voor het beoordelen van een effect daarop voor een bepaalde effectgroep in het Habitatrichtlijngebied. De praktische wegwijzer voor de effectgroep stikstofdepositie is een vertaling naar de praktijk van de bepalingen in het Stikstofdecreet. Dat decreet is gericht op de habitats waarvoor instandhoudingsdoelstellingen zijn vastgesteld in de S-IHD-besluiten (specifieke instandhoudingsdoelstelling) voor elke SBZ aangewezen met toepassing van de Habitatrichtlijn. Het zijn dus de tot doel gestelde habitats die zich situeren binnen de desbetreffende SBZ-H, die binnen de passende beoordeling in rekening moeten worden gebracht. Naast de praktische wegwijzers, die vooral proberen wegwijs te maken in de verschillende procedures, wil de Vlaamse Regering ook de kaders verder vereenvoudigen. In uitvoering van het Vlaamse regeerakkoord richtte ik reeds, samen met de minister-president, een gemengde commissie van experten, academici en administraties op die concrete voorstellen voor een versnelling en vereenvoudiging van het aanvragen, verkrijgen en behouden van omgevingsvergunningen moet uitwerken. Er werd ook heel specifiek verwezen naar bijvoorbeeld de milieueffectrapportage (MER) en de passende beoordeling als een opdracht voor die commissie. Onlangs besloot de Vlaamse Regering ook om een traject op te starten naar verdere administratieve en regelgevende vereenvoudiging, alsook om een actieplan op te stellen om de competitiviteit en de productiviteit van de Vlaamse economie te verhogen. De minister-president zal ook die trajecten intensief begeleiden. Hij vroeg mij ook om wat mijn beleidsdomein betreft met voorstellen voor bijkomende vereenvoudigingen te komen, dus ook op het vlak van de passende beoordeling. Onder meer het Vrijstellingsbesluit kan ook hier mogelijkheden bieden. Daarover hebben we het zojuist ook al uitgebreid gehad.",dinsdag 25 februari 2025,1874410.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874410
over de nieuwe praktische wegwijzer Stikstofdepositie,,,,speech,,Andy Pieters (N-VA),"Dank u wel, minister. Ik denk dat het goed is dat de wegwijzer op zich gebaseerd is op alle input die sinds de vorige wegwijzer is binnengekomen bij de administratie. Ik denk dat de vergunningverleners op het terrein, maar ook de studiebureaus die proberen de impact in kaart te brengen, inderdaad heel veel kennis in huis hebben sinds het Stikstofdecreet. U meldt ook dat ook de vereenvoudiging van de passende beoordeling op zich een opdracht is die binnen de gemengde commissie bekeken zal worden. Dat was nieuws voor ons, maar op zich is het goed, denk ik, dat men daar experten naar laat kijken. De praktische wegwijzer is nu bijna twee maanden online en meegedeeld aan de diverse belanghebbenden. Hebt u al weet van de eerste reactie op die nieuwe wegwijzer? Is er eventueel ook een toelichting of roadshow of zo gepland voor de belanghebbenden om bijkomende duiding te geven bij wat er al dan niet veranderd, verduidelijkt of gepreciseerd is in die wegwijzer?",dinsdag 25 februari 2025,1874410.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874410
over de nieuwe praktische wegwijzer Stikstofdepositie,,,,speech,,Bart Dochy (cd&v),"Minister, het woord ‘wegwijzer’ zegt het zelf: die moet de weg wijzen. Maar de reflectie die ik uit het veld hoor, is dat die wegwijzer eigenlijk de weg naar de doolhof wijst. Die wegwijzer zou dus eigenlijk veel duidelijker, helderder en robuuster moeten zijn en meer rechtszekerheid moeten geven, want heel wat studiebureaus met specialisten die jaren ervaring inzake de milieureglementering hebben, verdwalen in die wegwijzer. Zo wordt dat aangevoeld.",dinsdag 25 februari 2025,1874410.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874410
over de nieuwe praktische wegwijzer Stikstofdepositie,,,,speech,,Minister Jo Brouns,"Collega’s, ik denk dat we het over één ding eens zijn, namelijk dat het over complexe regelgeving gaat. De Vlaamse wegwijzers moeten inderdaad wel de weg wijzen, het liefst in de juiste richting. Ze moeten duidelijk zijn en duiding geven. Collega Pieters, die tussentijdse duidingen zijn er, die questions and answers (Q&A) zijn er, maar dat verdient inderdaad voortdurend aandacht. Men moet nauwlettend volgen of het beoogde doel ook bereikt wordt. Ik heb verwezen naar de gemengde commissie. In het regeerakkoord staat heel duidelijk opgesomd wat wij van hen verwachten. We kunnen bijkomend vragen of ze zich kunnen buigen over de vereenvoudiging. We kunnen dat doen in het kader van de administratieve vereenvoudiging in het project Regelrecht. We hebben ook het wetenschappelijk team dat zich buigt over het debat rond emissie versus depositie. Er zijn dus wel wat plaatsen waar we aan de betrokken experts vragen om zich te buigen over die passende beoordeling, die zonder meer een heel belangrijk instrument blijft bij de Vlaamse vergunningverlening. Gelet op de densiteit in ons Vlaanderen zal dat steeds een belangrijker instrument zijn. Dan is het voor mij ook belangrijk dat dat goed hanteerbaar en bruikbaar is en heel doelgericht ingezet kan worden in functie van een robuuste vergunningverlening.",dinsdag 25 februari 2025,1874410.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874410
over de nieuwe praktische wegwijzer Stikstofdepositie,,,,speech,,Andy Pieters (N-VA),"Minister, het is duidelijk dat het stikstofdossier bijzonder complex blijft, maar anderzijds zitten we natuurlijk wel in een situatie die toch iets gunstiger is dan die van onze noorderburen, dus in die zin moeten we alles relativeren. Natuurlijk is het wel zo dat die praktische wegwijzer geen extra drempels mag creëren. De heer Dochy zegt dat men kan verdwalen in die wegwijzer. Dat is natuurlijk niet de bedoeling, dus het is belangrijk dat we blijven zoeken naar een verdere verstaanbare uitleg voor diegenen die daar dagelijks mee bezig moeten zijn, natuurlijk zonder dat we de milieudoelen en het behalen van die doelen in het gedrang brengen. Het is goed dat u die extra opdracht hebt gegeven aan de gemengde commissie.",dinsdag 25 februari 2025,1874410.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874410
over de Natuurherstelwet en de optie om in te schrijven op alle mogelijke uitzonderingen,,,,speech,,Mieke Schauvliege (Groen),"Minister, op 19 februari moest België aan de Europese Commissie laten weten of het uitzonderingen wenst op bepaalde opgelegde herstelmaatregelen. Vlaanderen houdt alle opties open en duidt alle mogelijke afwijkingen en flexibele opties aan. Nog voor er een plan of budget op tafel ligt, kiest Vlaanderen er dus voor om alle mogelijke achterpoortjes en uitzonderingen open te houden. De focus van Vlaanderen lijkt duidelijk: in plaats van nu al alles in het werk te stellen om de quick wins voor de uitvoering van de Natuurherstelwet uit te voeren, stelt u alles in het werk om er onderuit te komen. De Europese Natuurherstelverordening bevat specifieke uitzonderingsgronden die lidstaten kunnen inroepen. Zo zijn er uitzonderingen mogelijk voor projecten die verband houden met hernieuwbare energie en nationale defensie. Daarnaast kunnen lidstaten bepaalde herstelverplichtingen uitstellen of aanpassen in gevallen van grootschalige overmacht, onvermijdelijke habitattransformaties of rekening houdend met regionale en plaatselijke kenmerken en bevolkingsdichtheid. Uitzonderingen zijn dus niet de norm. De uitzonderingen gaan daarenboven gepaard met een compensatieregeling om ervoor te zorgen dat de Natura 2000-doelen binnen de grotere biografische regio zeker gerealiseerd kunnen worden. Als er al uitzonderingen worden toegestaan, komen ze mogelijks met een prijs. Mijn vragen aan u, minister: op welke artikels en deelartikels zijn uitzonderingen aangevraagd? Wat is in deze fase de verantwoording om alle mogelijke uitzonderingen in de Natuurherstelwet aan te vragen? Terwijl het wenslijstje met uitzonderingen al bij de Europese Commissie ligt, blijft het voorlopig stil over hoe de uitvoering van de Natuurherstelwet gefinancierd zal worden. Hoe wordt de financiering van de natuurherstelmaatregelen eigenlijk voorzien? Zijn er specifieke budgetten toegewezen? Want uit de hoorzitting bleek dat alvast niet het geval.",dinsdag 25 februari 2025,1874747.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874747
over de Natuurherstelwet en de optie om in te schrijven op alle mogelijke uitzonderingen,,,,speech,,Minister Jo Brouns,"Collega’s, in het regeerakkoord is over de Natuurherstelwet het volgende opgenomen: “We benutten maximaal de koppelkansen om de doelen te bereiken en de in de wet voorziene afwijkingsmogelijkheden die bij de opmaak van de nationale plannen kunnen worden ingezet.” De uitzonderingen onder artikel 4.14, 4.15 en 4.16, worden generiek voorzien op de artikelen 4.11 en 4.12, dat gaat over het zogenaamde verslechteringsverbod, en moesten dus niet apart aangevraagd te worden. Het gaat meer bepaald over overmacht, onvermijdelijke habitattransformaties die rechtstreeks het gevolg zijn van de klimaatverandering en handelingen of nalatigheid door derde landen waarvoor de betrokken lidstaat niet verantwoordelijk is. Daarnaast kan een plan of project van groot openbaar belang, waarvoor geen minder schadelijke alternatieve oplossingen beschikbaar zijn, buiten de Speciale Beschermingszones (SBZ) afwijken van artikel 4.11 en 4.12. In de Speciale Beschermingszones blijven de Habitat- en Vogelrichtlijnen gelden en moet voor afwijkingen de zogenaamde ADC-procedure gevolgd worden: een alternatievenonderzoek, dwingende redenen van openbaar belang moeten aangetoond worden en de compensatie moet volgen. Het gaat dus enkel nog om de mogelijke uitzondering beschreven in het artikel 4.13 van de Herstelverordening. De lidstaten dienden de Europese Commissie voor 19 februari laatstleden in kennis te stellen van hun voornemen om de bepaling toe te passen en de daaraan verbonden voorwaarden te vervullen. De manier waarop deze vervuld worden, moet beschreven worden in het nationaal herstelplan. Het effectief benutten van deze mogelijkheid kan volgens deze regeling dus pas na de definitieve indiening van het Nationaal Herstelplan bij de Europese Commissie. Dat moet volgens de verordening gebeuren uiterlijk 1 september 2027. Het is een complexe regeling, die ik u graag ook even verder verduidelijk. Het artikel 4.13 maakt het mogelijk om buiten de Speciale Beschermingszones de toepassing van de bepalingen in de Natuurherstelverordening ter voorkoming van verslechtering op een specifieke, meer flexibele manier toe te passen. Het benutten van deze mogelijkheid is aan voorwaarden, zoals alternatieven en compensatie, onderworpen. Ik wijs erop dat deze logica nu niet rechtstreeks van toepassing gemaakt wordt. Het enige dat wij nu doen, is melden aan de Europese Commissie dat Vlaanderen in de toekomst van die optie gebruik wil maken. Onder artikelen 6 en 7 zijn bovendien enkele vrijstellingen voorzien, welke gedeeltelijk optioneel zijn en uitwerking moeten krijgen in het Natuurherstelplan. Het gaat om activiteiten die de nationale defensie dienen of uitwerking geven aan projecten die energie opwekken uit hernieuwbare bronnen. Ik ga in op uw tweede vraag. Op dit moment gaat het om een principiële keuze, die volgt uit het regeerakkoord en het standpunt van de vorige Vlaamse Regering in het proces voor de goedkeuring van de Natuurherstelverordening. Vlaanderen was kritisch vanwege de socio-economische gevolgen. Vandaar de keuze om, waar mogelijk, de doelstellingen en verplichtingen van de Natuurherstelverordening flexibel en op maat van Vlaanderen toe te passen. De precieze modaliteiten zullen, zoals al gezegd, in het herstelplan worden beschreven volgens de bepalingen van de verordening. Er zijn zes beleidsvoorbereidende werkgroepen aan de slag voor de opmaak van het Natuurherstelplan. Een van de opdrachten voor elk van die werkgroepen is een antwoord formuleren op de volgende vraag: in welke mate zullen de Natuurherstelverordening en het nationaal herstelplan het toekomstige Vlaamse natuurbeleid mee bepalen? Die vraag omvat de volgende deelvragen: hoever komen we met het huidige beleid, denk bijvoorbeeld aan de Programmatische Aanpak Stikstof (PAS) of aan Blue Deal? Hoe groot is de afstand tot de streefdoelen en verplichtingen van de Natuurherstelverordening? Welke extra maatregelen zijn absoluut noodzakelijk om die te halen? Welke mensen, middelen en instrumenten moeten we daartoe inzetten? Dat zijn belangrijke vragen. Het lijkt me evident dat er pas een middelentoewijzing kan gebeuren wanneer er een onderbouwd en uitgewerkt antwoord op deze vragen is. Ik zal de betrokken administraties vragen om een slim systeem van labeling te ontwikkelen, om zo inzicht te krijgen in alle budgetten die passen binnen de uitvoering van de Natuurherstelverordening. Ik wil ook nog meegeven dat budgetten die onder de bevoegdheid van collega-ministers vallen, kunnen bijdragen aan de realisatie van de Natuurherstelverordening.",dinsdag 25 februari 2025,1874747.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874747
over de Natuurherstelwet en de optie om in te schrijven op alle mogelijke uitzonderingen,,,,speech,,Mieke Schauvliege (Groen),"Minister, we hebben hier een hoorzitting gehad waarin de administratie de verschillende stappen heeft toegelicht. Het is fijn om te horen dat die exact hetzelfde vertellen als wat u hier komt vertellen, namelijk dat het allemaal nog heel lang zal duren. Vorige week beweerden collega’s van de N-VA in deze commissie dat er een politiek akkoord is dat de middelen voor natuurherstel uit de middelen van de stikstofsanering moeten komen. Als ik terugkijk naar de hoorzitting over de Natuurherstelwet, kwam daarin naar voren dat de middelen van de stikstofsanering onderdeel zijn van de totale maatregelen die moeten worden genomen voor het natuurherstel, maar dat dat absoluut niet volledig dekkend is voor de uitrol van alle elementen die leiden tot natuurherstel. Minister, ik hoor u daarnet een heel traject opsommen over hoe u finaal tot de financiering van het natuurherstel zou komen. Ik had graag van u vernomen welke budgetten er voor 2025 al voorzien zijn voor natuurherstel, naast de reguliere budgetten rond natuur. U hebt vorige week immers gezegd dat er 80 miljoen euro wordt voorzien. Op de hoorzitting hebben we gehoord dat het over 52 miljoen euro gaat. Maar tijdens de uiteenzetting van de administratie heb ik vernomen dat dat op dit moment niet voldoende is om aan de voorwaarde van de Natuurherstelwet te voldoen. Minister, wat is er nu precies voorzien? Wanneer gaat u bepalen hoeveel budget er nodig zal zijn? Want koken kost geld en hoe langer u wacht, hoe langer het zal duren vooraleer er echt maatregelen kunnen worden genomen.",dinsdag 25 februari 2025,1874747.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874747
over de Natuurherstelwet en de optie om in te schrijven op alle mogelijke uitzonderingen,,,,speech,,Sanne Van Looy (N-VA),In het regeerakkoord staat dat we maximaal koppelkansen zullen benutten om de doelen te bereiken en ook dat we zullen gebruikmaken van de voorziene afwijkingsmogelijkheden. Er staat ook dat er wordt voorzien in de vereiste inspraak en monitoring. Ik denk dat dat laatste heel belangrijk is. Welke vormen van inspraak werden er voorzien in het traject naar het aanvragen van die afwijking? Welke monitoring zult u daar nog verder voorzien? Tot slot: Vlaanderen is dichtbevolkt en de Natuurherstelwet is generiek. Daarom staan die uitzonderingen ook in de wet. Maar ik wil hier toch nog eens heel duidelijk benadrukken dat gebruikmaken van een uitzondering niet gelijk is aan het geen belang hechten aan natuurherstel. Ik denk dat we het daarover allemaal eens zijn.,dinsdag 25 februari 2025,1874747.0,https://www.vlaamsparlement.be//nl/parlementair-werk/commissies/commissievergaderingen/1873009/verslag/1874747
